,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.energy_intensity,pretreatment.power_consumption,pretreatment.recovery,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
54,1,55,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
55,1,56,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
56,1,57,0.12955,7.13520909817632e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,3.1390621703477036e-39,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999286,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
57,1,58,0.12955,7.135209098180771e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,3.969249774888746e-39,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.489999999992854,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
58,1,59,0.12955,7.1352090981738366e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.489999999992854,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
59,1,60,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
60,1,61,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
61,1,62,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
62,1,63,0.12955,7.135209098169714e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.48999999999285,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
63,1,64,0.12955,7.1352090981895926e-12,1731.691344494636,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999929,1,1063.499999999993,1063.499999999993,0.0,,,,1337.9836441818318,1063.499999999993,526.7652101066569,486.2447898933432,1013.01,50.489999999992904,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,0.0,0.0,2.54,445.99454806061055,0.52,337.67,175.58840336888562,162.0815966311144,1.0,,,0.41,215.9737361437293,526.7652101066569,526.7652101126422,0.0,0.0,,,536.734789887358,6.00749840398626e-08,3.0,1731.691344494636,0.0,-0.0,0.0,56.085153419820024
64,1,65,0.52939,2.6406957165784195e-11,177.73396411188963,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999735,1,1063.4999999999736,1063.4999999999736,4.408103774644015e-39,,,,0.0,1063.4999999999736,2.220532603551283e-39,0.0,8.868796692319091e-39,1063.4999999999736,0.0,0.0,1.0,2.4200000006,7.818174339977907e-39,0.4600000003,6.349518434973548e-40,3.164389994354566e-39,0.0,0.0,0.0,1.0,2.4200000006,7.818174339977907e-39,0.4600000003,6.349518434973548e-40,3.164389994354566e-39,0.0,0.0,0.0,1.0,2.4200000006,7.818174339977907e-39,0.4600000003,6.349518434973548e-40,3.164389994354566e-39,0.0,1.0,,,0.41,1.362904300586295e-39,2.918656757257345e-39,6.712219735767695e-09,0.0,0.0,,,1063.499999993288,2.8899039300571715e-09,0.0,177.73396411188963,0.0,-0.0,0.0,23.522645815298315
65,1,66,0.52939,2.6406957165784434e-11,177.73396411188963,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999735,1,1063.4999999999736,1063.4999999999736,1.6258752076111183e-40,,,,2.18945304862631e-38,1063.4999999999736,6.020309560416413e-39,0.0,0.0,1063.4999999999736,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,1.0,,,0.41,2.5681118847719534e-39,6.342899345714106e-39,6.712219735767699e-09,0.0,0.0,,,1063.499999993288,2.8899039302767317e-09,0.0,177.73396411188963,0.0,-0.0,0.0,23.522645815298315
66,1,67,0.52939,2.6406957165784434e-11,177.73396411188963,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999735,1,1063.4999999999736,1063.4999999999736,1.6258752076111183e-40,,,,2.18945304862631e-38,1063.4999999999736,6.020309560416413e-39,0.0,0.0,1063.4999999999736,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,1.0,,,0.41,2.5681118847719534e-39,6.342899345714106e-39,6.712219735767699e-09,0.0,0.0,,,1063.499999993288,2.8899039302767317e-09,0.0,177.73396411188963,0.0,-0.0,0.0,23.522645815298315
67,1,68,0.52939,2.6406957165784434e-11,177.73396411188963,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999735,1,1063.4999999999736,1063.4999999999736,1.6258752076111183e-40,,,,2.18945304862631e-38,1063.4999999999736,6.020309560416413e-39,0.0,0.0,1063.4999999999736,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,0.0,0.0,0.0,2.4200000006,1.3161637654619438e-38,0.4600000003,6.844442735572209e-39,3.6758866102357275e-39,0.0,1.0,,,0.41,2.5681118847719534e-39,6.342899345714106e-39,6.712219735767699e-09,0.0,0.0,,,1063.499999993288,2.8899039302767317e-09,0.0,177.73396411188963,0.0,-0.0,0.0,23.522645815298315
68,1,69,0.52939,2.6406957165791827e-11,177.73396411188963,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999735,1,1063.4999999999736,1063.4999999999736,5.986794448049071e-39,,,,0.0,1063.4999999999736,0.0,1.9395162530699892e-38,1.653363176084567e-38,1063.4999999999736,0.0,0.0,0.0,2.4200000006,0.0,0.4600000003,0.0,0.0,8.503629692759042e-39,0.0,0.0,0.0,2.4200000006,0.0,0.4600000003,0.0,0.0,8.503629692759042e-39,0.0,0.0,0.0,2.4200000006,0.0,0.4600000003,0.0,0.0,8.503629692759042e-39,1.0,,,0.41,0.0,0.0,6.712219735767603e-09,0.0,0.0,,,1063.499999993288,2.8899039361426135e-09,0.0,177.73396411188963,0.0,-0.0,0.0,23.522645815298315
69,1,70,0.52939,2.6406957165784065e-11,177.73396411188963,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999735,1,1063.4999999999736,1063.4999999999736,0.0,,,,0.0,1063.4999999999736,0.0,0.0,0.0,1063.4999999999736,0.0,0.0,0.0,2.4200000006,3.02757792767737e-38,0.4600000003,0.0,1.3496697421950078e-38,0.0,0.0,0.0,0.0,2.4200000006,3.02757792767737e-38,0.4600000003,0.0,1.3496697421950078e-38,0.0,0.0,0.0,0.0,2.4200000006,3.02757792767737e-38,0.4600000003,0.0,1.3496697421950078e-38,0.0,1.0,,,0.41,0.0,0.0,6.71221973576771e-09,0.0,0.0,,,1063.499999993288,2.889903929361539e-09,0.0,177.73396411188963,0.0,-0.0,0.0,23.522645815298315
70,1,71,0.52939,2.6406957088154506e-11,1016.1525004492613,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999735,1,1063.4999999999736,1063.4999999999736,0.0,,,,621.3127790965806,1063.4999999999736,270.13599325696146,405.2040067430386,675.34,388.1599999999736,1.0,1.0,0.0,2.3,310.6563895482903,0.4,337.67,135.06799662848073,202.6020033715193,1.0,1.0,0.0,2.3,310.6563895482903,0.4,337.67,135.06799662848073,202.6020033715193,0.0,0.0,0.0,2.4200000006,0.0,0.4600000003,0.0,3.0561164040770147e-40,0.0,0.0,,,0.41,110.7557572353542,270.13599325696146,6.076380315770305e-09,270.13599325088506,1.0,,,1063.4999999939237,106.35000000832665,2.0,1016.1525004492612,0.0,-0.0,0.0,134.48524305320862
71,1,72,0.52939,2.6406957088150076e-11,1016.1525004492613,,,,0.157121734,167.098964109,1,1063.5,1063.5,1.075235741771455e-13,1,,,0.01,10.634999999999735,1,1063.4999999999736,1063.4999999999736,1.1611657087445929e-39,,,,621.3127790965806,1063.4999999999736,270.13599325696146,405.2040067430386,675.34,388.1599999999736,1.0,0.0,0.0,2.3,310.6563895482903,0.4,337.67,135.06799662848073,202.6020033715193,1.0,0.0,0.0,2.3,310.6563895482903,0.4,337.67,135.06799662848073,202.6020033715193,0.0,0.0,0.0,2.4200000006,0.0,0.4600000003,0.0,3.056116040508244e-40,0.0,0.0,,,0.41,110.7557572353542,270.13599325696146,6.076380315770305e-09,270.13599325088506,1.0,,,1063.4999999939237,106.35000000832665,2.0,1016.1525004492612,0.0,-0.0,0.0,134.48524305320862
