Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
9.16E-01,1.64E-01,5.86E-01,6.31E-01,4.50E-01,1.64E-01,6.78E-02,2.50E-02,6.78E-02,2.50E-02,1.37E-02,2.44E+05,8.72E+05,7.84E+05,9.45E+05,1.11E+06,8.54E+05,2.04E+05,1.79E+05,2.20E+04,3.48E+03,2.05E-04,2.25E-04,1.38E-04,1.24E-02,1.87E-02,2.03E-01,9.32E-01,1.00E+00
9.16E-01,1.70E-01,5.92E-01,6.39E-01,4.29E-01,1.70E-01,6.92E-02,2.50E-02,6.92E-02,2.50E-02,1.43E-02,2.44E+05,9.07E+05,8.17E+05,9.81E+05,1.15E+06,8.43E+05,2.18E+05,1.95E+05,2.21E+04,1.31E+03,2.15E-04,2.33E-04,1.32E-04,1.20E-02,1.87E-02,2.16E-01,9.58E-01,1.00E+00
9.16E-01,1.76E-01,5.97E-01,6.43E-01,4.17E-01,1.76E-01,7.10E-02,2.54E-02,7.10E-02,2.54E-02,1.48E-02,2.44E+05,9.40E+05,8.45E+05,1.01E+06,1.18E+06,8.41E+05,2.32E+05,2.10E+05,2.23E+04,-2.00E+02,2.24E-04,2.40E-04,1.30E-04,1.16E-02,1.85E-02,2.20E-01,9.82E-01,1.00E+00
9.25E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.51E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.57E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.64E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.70E-01,5.92E-01,6.39E-01,4.90E-01,1.70E-01,6.92E-02,2.50E-02,6.92E-02,2.50E-02,1.27E-02,2.44E+05,9.07E+05,8.17E+05,9.81E+05,1.15E+06,9.18E+05,2.22E+05,1.95E+05,2.21E+04,5.06E+03,2.15E-04,2.33E-04,1.53E-04,1.20E-02,1.87E-02,2.04E-01,9.58E-01,1.00E+00
9.25E-01,1.76E-01,5.99E-01,6.46E-01,4.72E-01,1.76E-01,7.07E-02,2.50E-02,7.07E-02,2.50E-02,1.32E-02,2.44E+05,9.43E+05,8.49E+05,1.02E+06,1.18E+06,9.09E+05,2.36E+05,2.11E+05,2.23E+04,3.00E+03,2.24E-04,2.41E-04,1.48E-04,1.16E-02,1.86E-02,2.15E-01,9.83E-01,1.00E+00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper lim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR,0.88,0.889,,,,,,,3.00E+00,,,,,,,,,,,,,,,,,,,
Flow,0.164,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow,590.4,590.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower lim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR,0.916,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow,0.151,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow,543.6,612,,,,,,,,,,,,,,,,,,,,,,,,,,
