# Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-)
9.160000e-01,1.574444e-01,5.691675e-01,6.032884e-01,5.085298e-01,1.574444e-01,6.783220e-02,2.690987e-02,6.783220e-02,2.690987e-02,1.322547e-02,2.440744e+05,8.239634e+05,7.367547e+05,8.977373e+05,1.067014e+06,9.162540e+05,1.894042e+05,1.605426e+05,2.196114e+04,6.900433e+03,1.923733e-04,2.139120e-04,1.650519e-04,1.295210e-02,1.801961e-02,1.615160e-01,8.997439e-01,1.000000e+00
9.160000e-01,1.636667e-01,5.724967e-01,6.033246e-01,5.046573e-01,1.636667e-01,6.996806e-02,2.775466e-02,6.996806e-02,2.775466e-02,1.374814e-02,2.440744e+05,8.542608e+05,7.619620e+05,9.280347e+05,1.092221e+06,9.279129e+05,2.028535e+05,1.740679e+05,2.220576e+04,6.579873e+03,2.005685e-04,2.202076e-04,1.680275e-04,1.247592e-02,1.764668e-02,1.586994e-01,9.229975e-01,1.000000e+00
9.160000e-01,1.698889e-01,5.756926e-01,6.033983e-01,5.008336e-01,1.698889e-01,7.208514e-02,2.858914e-02,7.208514e-02,2.858914e-02,1.427081e-02,2.440744e+05,8.846856e+05,7.869874e+05,9.584595e+05,1.117246e+06,9.391979e+05,2.168694e+05,1.882211e+05,2.243173e+04,6.216526e+03,2.087990e-04,2.264617e-04,1.708987e-04,1.203546e-02,1.729636e-02,1.560932e-01,9.460317e-01,1.000000e+00
9.160000e-01,1.761111e-01,5.787643e-01,6.034916e-01,4.970753e-01,1.761111e-01,7.418432e-02,2.941476e-02,7.418432e-02,2.941476e-02,1.479349e-02,2.440744e+05,9.152321e+05,8.118186e+05,9.890060e+05,1.142077e+06,9.501537e+05,2.314646e+05,2.030147e+05,2.263691e+04,5.812991e+03,2.170633e-04,2.326708e-04,1.736812e-04,1.162686e-02,1.696651e-02,1.536637e-01,9.688641e-01,1.000000e+00
9.250000e-01,1.450000e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.512222e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.574444e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.636667e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.250000e-01,1.698889e-01,5.787254e-01,6.097985e-01,5.437441e-01,1.698889e-01,7.156990e-02,2.792674e-02,7.156990e-02,2.792674e-02,1.274183e-02,2.440744e+05,8.887279e+05,7.923786e+05,9.625018e+05,1.122637e+06,9.947065e+05,2.198223e+05,1.893718e+05,2.237855e+04,8.071941e+03,2.098870e-04,2.276230e-04,1.851356e-04,1.202333e-02,1.752545e-02,1.597760e-01,9.481986e-01,1.000000e+00
9.250000e-01,1.761111e-01,5.817625e-01,6.099508e-01,5.402514e-01,1.761111e-01,7.365629e-02,2.872963e-02,7.365629e-02,2.872963e-02,1.320850e-02,2.440744e+05,9.193687e+05,8.174291e+05,9.931426e+05,1.147688e+06,1.006842e+06,2.345792e+05,2.042179e+05,2.258740e+04,7.773928e+03,2.181769e-04,2.338871e-04,1.882494e-04,1.161600e-02,1.719030e-02,1.571458e-01,9.710205e-01,1.000000e+00
