Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3),Stage1 Pump Speed (-),Stage2 Pump Speed (-),Total Perm. Conc. (kg/m3)
9.11E-01,1.76E-01,5.77E-01,6.00E-01,4.74E-01,1.76E-01,7.45E-02,2.98E-02,7.45E-02,2.98E-02,1.57E-02,2.44E+05,9.13E+05,8.09E+05,9.87E+05,1.14E+06,9.20E+05,2.30E+05,2.02E+05,2.27E+04,4.75E+03,2.16E-04,2.32E-04,1.66E-04,1.16E-02,1.69E-02,1.53E-01,9.68E-01,1.00E+00,2.55E-02
9.18E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.18E-01,1.51E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.18E-01,1.57E-01,5.70E-01,6.05E-01,5.18E-01,1.57E-01,6.77E-02,2.68E-02,6.77E-02,2.68E-02,1.29E-02,2.44E+05,8.25E+05,7.38E+05,8.99E+05,1.07E+06,9.28E+05,1.90E+05,1.61E+05,2.19E+04,7.26E+03,1.93E-04,2.14E-04,1.68E-04,1.29E-02,1.81E-02,1.62E-01,9.00E-01,1.00E+00,2.87E-02
9.18E-01,1.64E-01,5.73E-01,6.05E-01,5.14E-01,1.64E-01,6.99E-02,2.76E-02,6.99E-02,2.76E-02,1.34E-02,2.44E+05,8.55E+05,7.63E+05,9.29E+05,1.09E+06,9.40E+05,2.03E+05,1.74E+05,2.22E+04,6.96E+03,2.01E-04,2.20E-04,1.71E-04,1.25E-02,1.77E-02,1.59E-01,9.23E-01,1.00E+00,2.78E-02
9.18E-01,1.70E-01,5.76E-01,6.05E-01,5.10E-01,1.70E-01,7.20E-02,2.84E-02,7.20E-02,2.84E-02,1.39E-02,2.44E+05,8.86E+05,7.88E+05,9.59E+05,1.12E+06,9.51E+05,2.18E+05,1.88E+05,2.24E+04,6.62E+03,2.09E-04,2.27E-04,1.74E-04,1.20E-02,1.73E-02,1.57E-01,9.47E-01,1.00E+00,2.69E-02
9.18E-01,1.76E-01,5.79E-01,6.05E-01,5.07E-01,1.76E-01,7.41E-02,2.93E-02,7.41E-02,2.93E-02,1.44E-02,2.44E+05,9.16E+05,8.13E+05,9.90E+05,1.14E+06,9.62E+05,2.32E+05,2.03E+05,2.26E+04,6.24E+03,2.17E-04,2.33E-04,1.77E-04,1.16E-02,1.70E-02,1.54E-01,9.69E-01,1.00E+00,2.62E-02
9.25E-01,1.45E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.51E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.57E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.64E-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.25E-01,1.70E-01,5.79E-01,6.10E-01,5.44E-01,1.70E-01,7.16E-02,2.79E-02,7.16E-02,2.79E-02,1.27E-02,2.44E+05,8.89E+05,7.92E+05,9.63E+05,1.12E+06,9.95E+05,2.20E+05,1.89E+05,2.24E+04,8.07E+03,2.10E-04,2.28E-04,1.85E-04,1.20E-02,1.75E-02,1.60E-01,9.48E-01,1.00E+00,2.78E-02
9.25E-01,1.76E-01,5.82E-01,6.10E-01,5.40E-01,1.76E-01,7.37E-02,2.87E-02,7.37E-02,2.87E-02,1.32E-02,2.44E+05,9.19E+05,8.17E+05,9.93E+05,1.15E+06,1.01E+06,2.35E+05,2.04E+05,2.26E+04,7.77E+03,2.18E-04,2.34E-04,1.88E-04,1.16E-02,1.72E-02,1.57E-01,9.71E-01,1.00E+00,2.70E-02
