Recovery,Feed Flow,Stage1 RR,Stage2 RR,Stage3 RR,Stage1 Qin (m3/s),Stage2 Qin (m3/s),Stage3 Qin (m3/s),Stage1 Brine (m3/s),Stage2 Brine (m3/s),Stage3 Brine (m3/s),Stage1 Pin (Pa),Stage2 Pin (Pa),Stage3 Pin (Pa),Stage1 Pout (Pa),Stage2 Pout (Pa),Stage3 Pout (Pa),Total Power (W),Stage1 Power (W),Stage2 Power (W),Stage3 Power (W),Stage1 First Elem. Prod. (m3/s),Stage2 First Elem. Prod. (m3/s),Stage3 First Elem. Prod. (m3/s),Stage1 Perm. Conc. (kg/m3),Stage2 Perm. Conc. (kg/m3),Stage3 Perm. Conc. (kg/m3)
8.89E-01,1.70E-01,5.90E-01,5.90E-01,3.40E-01,1.70E-01,6.97E-02,2.86E-02,6.97E-02,2.86E-02,1.89E-02,2.44E+05,9.04E+05,7.45E+05,9.77E+05,1.08E+06,7.40E+05,2.10E+05,1.94E+05,1.64E+04,-3.05E+02,2.14E-04,2.15E-04,1.13E-04,1.20E-02,1.85E-02,1.89E-01
8.89E-01,1.76E-01,5.91E-01,5.91E-01,3.38E-01,1.76E-01,7.21E-02,2.95E-02,7.21E-02,2.95E-02,1.95E-02,2.44E+05,9.32E+05,7.73E+05,1.01E+06,1.10E+06,7.49E+05,2.23E+05,2.08E+05,1.71E+04,-1.44E+03,2.21E-04,2.22E-04,1.15E-04,1.16E-02,1.80E-02,1.85E-01
8.90E-01,1.45E-01,5.85E-01,5.85E-01,3.62E-01,1.45E-01,6.02E-02,2.50E-02,6.02E-02,2.50E-02,1.60E-02,2.44E+05,7.90E+05,6.33E+05,8.64E+05,9.63E+05,7.16E+05,1.60E+05,1.42E+05,1.39E+04,4.14E+03,1.83E-04,1.86E-04,1.07E-04,1.39E-02,2.10E-02,2.00E-01
8.90E-01,1.51E-01,5.88E-01,5.88E-01,3.51E-01,1.51E-01,6.23E-02,2.56E-02,6.23E-02,2.56E-02,1.66E-02,2.44E+05,8.21E+05,6.61E+05,8.95E+05,9.91E+05,7.16E+05,1.72E+05,1.55E+05,1.42E+04,2.81E+03,1.91E-04,1.93E-04,1.06E-04,1.34E-02,2.05E-02,2.03E-01
8.90E-01,1.57E-01,5.89E-01,5.89E-01,3.49E-01,1.57E-01,6.47E-02,2.66E-02,6.47E-02,2.66E-02,1.73E-02,2.44E+05,8.48E+05,6.89E+05,9.22E+05,1.02E+06,7.26E+05,1.84E+05,1.67E+05,1.49E+04,1.97E+03,1.99E-04,2.00E-04,1.09E-04,1.29E-02,1.98E-02,1.98E-01
8.90E-01,1.64E-01,5.90E-01,5.90E-01,3.47E-01,1.64E-01,6.72E-02,2.76E-02,6.72E-02,2.76E-02,1.80E-02,2.44E+05,8.76E+05,7.17E+05,9.50E+05,1.05E+06,7.36E+05,1.97E+05,1.80E+05,1.56E+04,1.03E+03,2.06E-04,2.08E-04,1.12E-04,1.24E-02,1.92E-02,1.93E-01
8.90E-01,1.70E-01,5.90E-01,5.90E-01,3.45E-01,1.70E-01,6.96E-02,2.85E-02,6.96E-02,2.85E-02,1.87E-02,2.44E+05,9.04E+05,7.45E+05,9.78E+05,1.08E+06,7.45E+05,2.10E+05,1.94E+05,1.63E+04,3.49E+00,2.14E-04,2.15E-04,1.14E-04,1.20E-02,1.86E-02,1.89E-01
8.90E-01,1.76E-01,5.91E-01,5.91E-01,3.42E-01,1.76E-01,7.20E-02,2.95E-02,7.20E-02,2.95E-02,1.94E-02,2.44E+05,9.32E+05,7.73E+05,1.01E+06,1.10E+06,7.54E+05,2.24E+05,2.08E+05,1.70E+04,-1.11E+03,2.22E-04,2.22E-04,1.17E-04,1.16E-02,1.80E-02,1.85E-01
8.98E-01,1.45E-01,5.85E-01,5.85E-01,4.08E-01,1.45E-01,6.02E-02,2.50E-02,6.02E-02,2.50E-02,1.48E-02,2.44E+05,7.90E+05,6.33E+05,8.64E+05,9.63E+05,7.66E+05,1.63E+05,1.42E+05,1.39E+04,6.67E+03,1.83E-04,1.86E-04,1.22E-04,1.39E-02,2.10E-02,1.88E-01
8.98E-01,1.51E-01,5.92E-01,5.92E-01,3.88E-01,1.51E-01,6.18E-02,2.52E-02,6.18E-02,2.52E-02,1.54E-02,2.44E+05,8.25E+05,6.62E+05,8.99E+05,9.92E+05,7.57E+05,1.75E+05,1.56E+05,1.38E+04,4.81E+03,1.93E-04,1.93E-04,1.17E-04,1.34E-02,2.08E-02,1.98E-01
8.98E-01,1.57E-01,5.92E-01,5.92E-01,3.87E-01,1.57E-01,6.42E-02,2.62E-02,6.42E-02,2.62E-02,1.61E-02,2.44E+05,8.53E+05,6.90E+05,9.26E+05,1.02E+06,7.68E+05,1.87E+05,1.68E+05,1.45E+04,4.11E+03,2.00E-04,2.00E-04,1.20E-04,1.29E-02,2.01E-02,1.92E-01
8.98E-01,1.64E-01,5.93E-01,5.93E-01,3.85E-01,1.64E-01,6.66E-02,2.71E-02,6.66E-02,2.71E-02,1.67E-02,2.44E+05,8.81E+05,7.17E+05,9.54E+05,1.05E+06,7.79E+05,2.00E+05,1.81E+05,1.51E+04,3.33E+03,2.08E-04,2.07E-04,1.23E-04,1.24E-02,1.94E-02,1.87E-01
8.98E-01,1.70E-01,5.94E-01,5.94E-01,3.82E-01,1.70E-01,6.90E-02,2.81E-02,6.90E-02,2.81E-02,1.73E-02,2.44E+05,9.09E+05,7.45E+05,9.82E+05,1.08E+06,7.89E+05,2.13E+05,1.95E+05,1.58E+04,2.47E+03,2.15E-04,2.15E-04,1.26E-04,1.20E-02,1.88E-02,1.83E-01
8.98E-01,1.76E-01,5.94E-01,5.94E-01,3.80E-01,1.76E-01,7.14E-02,2.90E-02,7.14E-02,2.90E-02,1.80E-02,2.44E+05,9.37E+05,7.73E+05,1.01E+06,1.10E+06,7.99E+05,2.27E+05,2.09E+05,1.64E+04,1.51E+03,2.23E-04,2.22E-04,1.29E-04,1.16E-02,1.83E-02,1.79E-01
9.00E-01,1.45E-01,5.85E-01,5.85E-01,4.20E-01,1.45E-01,6.02E-02,2.50E-02,6.02E-02,2.50E-02,1.45E-02,2.44E+05,7.90E+05,6.33E+05,8.64E+05,9.63E+05,7.79E+05,1.63E+05,1.42E+05,1.39E+04,7.31E+03,1.83E-04,1.86E-04,1.26E-04,1.39E-02,2.10E-02,1.85E-01
9.00E-01,1.51E-01,5.92E-01,5.92E-01,3.98E-01,1.51E-01,6.16E-02,2.51E-02,6.16E-02,2.51E-02,1.51E-02,2.44E+05,8.26E+05,6.62E+05,9.00E+05,9.92E+05,7.67E+05,1.75E+05,1.56E+05,1.37E+04,5.31E+03,1.93E-04,1.93E-04,1.20E-04,1.33E-02,2.09E-02,1.97E-01
9.00E-01,1.57E-01,5.93E-01,5.93E-01,3.96E-01,1.57E-01,6.41E-02,2.61E-02,6.41E-02,2.61E-02,1.57E-02,2.44E+05,8.54E+05,6.90E+05,9.27E+05,1.02E+06,7.79E+05,1.88E+05,1.69E+05,1.43E+04,4.65E+03,2.00E-04,2.00E-04,1.23E-04,1.29E-02,2.02E-02,1.91E-01
